1001,GDPR-001,RGPD & Protection des Données,2024-09-07,COMP,2.00,95.58,207.52,COMPLIANCE
1001,HEALTH-001,Santé & Sécurité au Travail,2024-08-29,COMP,4.00,79.45,228.47,COMPLIANCE
1001,FIRE-001,Sécurité & Évacuation Incendie,2024-08-30,COMP,1.00,79.96,99.10,COMPLIANCE
1001,DEI-001,Égalité Femmes-Hommes,2024-08-19,COMP,3.00,89.98,177.41,COMPLIANCE
1001,FRAUD-001,Prévention Fraude & Corruption,2024-08-20,COMP,2.00,75.33,142.91,COMPLIANCE
1001,ETHICS-001,Code de Déontologie Novaryn Tech,2024-08-23,COMP,1.50,75.12,126.25,COMPLIANCE
1001,PM-001,Product Management Essentials,2025-07-02,FAIL,20.00,51.08,1195.79,COURSE
1001,SQL-001,Advanced SQL for Analytics,2025-02-12,COMP,16.00,64.38,876.54,ELEARN
1002,GDPR-001,RGPD & Protection des Données,2015-11-30,COMP,2.00,90.40,191.63,COMPLIANCE
1002,HEALTH-001,Santé & Sécurité au Travail,2015-11-08,COMP,4.00,85.76,233.37,COMPLIANCE
1002,FIRE-001,Sécurité & Évacuation Incendie,2015-11-03,COMP,1.00,93.26,92.00,COMPLIANCE
1002,DEI-001,Égalité Femmes-Hommes,2015-12-15,COMP,3.00,92.09,178.29,COMPLIANCE
1002,FRAUD-001,Prévention Fraude & Corruption,2015-12-11,COMP,2.00,80.52,151.37,COMPLIANCE
1002,ETHICS-001,Code de Déontologie Novaryn Tech,2015-12-06,COMP,1.50,84.59,116.74,COMPLIANCE
1002,SQL-001,Advanced SQL for Analytics,2026-06-13,ENR,16.00,0.00,865.89,ELEARN
1002,AZURE-001,Microsoft Azure Fundamentals,2026-06-23,ENR,28.00,0.00,1592.49,ELEARN
1003,GDPR-001,RGPD & Protection des Données,2013-10-22,COMP,2.00,90.57,209.13,COMPLIANCE
1003,HEALTH-001,Santé & Sécurité au Travail,2013-10-06,COMP,4.00,74.44,245.52,COMPLIANCE
1003,FIRE-001,Sécurité & Évacuation Incendie,2013-10-19,COMP,1.00,89.78,92.83,COMPLIANCE
1003,DEI-001,Égalité Femmes-Hommes,2013-11-05,COMP,3.00,70.93,182.79,COMPLIANCE
1003,FRAUD-001,Prévention Fraude & Corruption,2013-11-18,COMP,2.00,99.20,145.78,COMPLIANCE
1003,ETHICS-001,Code de Déontologie Novaryn Tech,2013-11-21,COMP,1.50,72.68,130.10,COMPLIANCE
1003,SAFE-001,SAFe Agile Practitioner,2022-12-14,FAIL,16.00,56.65,1263.48,COURSE
1003,LEAD-001,Leadership & Management,2024-07-13,FAIL,20.00,46.63,1424.04,COURSE
1003,AZURE-001,Microsoft Azure Fundamentals,2023-08-23,COMP,28.00,97.81,1492.60,ELEARN
1003,ML-001,Machine Learning Fundamentals,2025-08-17,COMP,40.00,83.18,1696.88,ELEARN
1003,K8S-001,Kubernetes Fundamentals,2026-04-23,ENR,24.00,0.00,1078.04,ELEARN
1004,GDPR-001,RGPD & Protection des Données,2021-05-17,COMP,2.00,87.00,211.70,COMPLIANCE
1004,HEALTH-001,Santé & Sécurité au Travail,2021-05-10,COMP,4.00,78.65,273.47,COMPLIANCE
1004,FIRE-001,Sécurité & Évacuation Incendie,2021-05-19,COMP,1.00,97.82,92.94,COMPLIANCE
1004,DEI-001,Égalité Femmes-Hommes,2021-05-31,COMP,3.00,74.51,196.80,COMPLIANCE
